BEDROOM_NUM_CLEAN,TOTAL_FLOOR,FEATURE_COUNT,AMENITY_COUNT,LANDMARK_COUNT,FLOOR_RATIO,BALCONY_NUM,AREA_SQFT,LATITUDE,LONGITUDE,LOCALITY_MEDIAN_PRICE,LISTING_AGE_DAYS,IS_READY_TO_MOVE,IS_UNDER_CONSTR,IS_RERA,IS_RESALE,IS_NEW_BOOKING,IS_VERIFIED,HAS_SOCIETY,IS_TOP_FLOOR,IS_GROUND_FLOOR,PROP_TYPE_CLEAN,FURNISH_LABEL,FACING_LABEL,AGE_LABEL,TRANSACT_LABEL,AREA_BUCKET,BALCONY_BUCKET,LOCALITY,SPID,PROP_ID,TARGET_PRICE_SQFT,LOG_PRICE_SQFT,PRICE_INR,AREA_SQFT,LOCALITY,PROP_TYPE_CLEAN,PRICE_PER_BED,LISTING_AGE_DAYS,LOCALITY_MEDIAN_PRICE
3.0,0.0,0,0,10.0,,,2685.0,17.16648,78.45784,8000.0,60.0,0,1,1,0,1,0,1,0,0,Villa,Unfurnished,Unknown,Resale_Old,Rent,XL,None,: ,69481764,K69481764,6699.0,8.809862805379057,18000000.0,2685.0,: ,Villa,6000000.0,60.0,8000.0
3.0,0.0,0,0,8.0,,,3010.0,17.47994,78.2377875,8000.0,60.0,0,1,1,0,1,0,1,0,0,Villa,Unfurnished,Unknown,Resale_Old,Rent,XL,None,: ,69481414,X69481414,10999.0,9.305650551780507,33100000.0,3010.0,: ,Villa,11033333.333333334,60.0,8000.0
,0.0,0,0,22.0,,,2115.0,17.06582,78.2012,8000.0,60.0,0,1,0,0,1,0,1,0,0,Land,Unfurnished,Unknown,New,Rent,Large,None,: ,69355662,W69355662,1778.0,7.483806687665835,3760499.9999999995,2115.0,: ,Land,,60.0,8000.0
3.0,10.0,0,0,7.0,0.1,,1880.0,17.373829,78.357324,8000.0,90.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Large,None,: ,69187664,X69187664,6500.0,8.77971129020447,12250000.0,1880.0,: ,Apartment,4083333.3333333335,90.0,8000.0
2.0,10.0,0,0,7.0,0.1,,1365.0,17.373829,78.357324,8000.0,90.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,69187662,P69187662,6500.0,8.77971129020447,8872000.0,1365.0,: ,Apartment,4436000.0,90.0,8000.0
3.0,20.0,0,0,50.0,0.05,,1592.5,17.522103,78.384846,8000.0,120.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Medium,None,: ,68489972,T68489972,6000.0,8.699681400989514,429800000.00000006,1592.5,: ,Apartment,143266666.6666667,120.0,8000.0
4.0,15.0,0,0,13.0,0.06666666666666667,,4178.5,17.41281,78.34249,8000.0,30.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,XL,None,: ,70207650,Y70207650,9550.0,9.164401140034737,39900000.0,4178.5,: ,Apartment,9975000.0,30.0,8000.0
3.0,15.0,0,0,13.0,0.06666666666666667,,2614.5,17.41281,78.34249,8000.0,30.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,XL,None,: ,70207648,L70207648,9550.0,9.164401140034737,25000000.0,2614.5,: ,Apartment,8333333.333333333,30.0,8000.0
4.0,0.0,0,0,8.0,,,2747.5,17.439719,78.599333,8000.0,3.0,0,1,1,0,1,0,1,0,0,Villa,Unfurnished,Unknown,Resale_Old,Rent,XL,None,: ,70975458,I70975458,8500.0,9.04793908261736,23350000.0,2747.5,: ,Villa,5837500.0,3.0,8000.0
3.0,17.0,0,0,13.0,0.058823529411764705,,1890.0,17.503037,78.3656163,8000.0,30.0,0,1,1,0,1,0,1,0,0,Apartment,Unfurnished,Unknown,Resale_Old,Rent,Large,None,: ,69962350,P69962350,6699.0,8.809862805379057,495150000.0,1890.0,: ,Apartment,165050000.0,30.0,8000.0
