PROP_ID,location,AREA,PRICE,BEDROOM_NUM,MIN_AREA_SQFT,MAX_AREA_SQFT,AMENITIES,AGE,FLOOR_NUM,TOTAL_FLOOR,BALCONY_NUM,TOTAL_LANDMARK_COUNT,REGISTERED_DAYS,PROPERTY_TYPE,FURNISH,FACING,VERIFIED,LAT,LNG
F70271042,chandanagar,chandanagar,10700000.0,3.0,1790.0,1790.0,,12.0,4.0,5.0,2.0,47.0,30.0,flat,semi-furnished,east,0,17.49182,78.32617
M70270894,chandanagar,chandanagar,7680000.0,2.0,1295.0,1295.0,,12.0,3.0,5.0,1.0,47.0,30.0,flat,semi-furnished,east,0,17.49182,78.32617
R70259696,unknown,unknown,55500000.0,4.0,2700.0,2700.0,,20.0,1.0,2.0,4.0,12.0,30.0,villa,semi-furnished,east,0,17.437953,78.283138
M70127442,unknown,unknown,11500000.0,3.0,1035.0,1035.0,,0.0,1.0,2.0,2.0,50.0,30.0,villa,semi-furnished,west,1,17.526495,78.5051
W70252286,unknown,unknown,21500000.0,5.0,1503.0,1503.0,,0.0,2.0,3.0,3.0,49.0,30.0,villa,semi-furnished,west,0,17.50763,78.47894
G70198898,unknown,unknown,40800000.0,4.0,3400.0,3400.0,,12.0,0.0,1.0,2.0,6.0,30.0,villa,semi-furnished,north-east,0,17.34259,78.396008
K70165590,unknown,unknown,69700000.0,4.0,6333.0,6333.0,,12.0,13.0,28.0,1.0,9.0,30.0,flat,semi-furnished,east,0,17.39782,78.332604
A70125548,unknown,unknown,7055000.0,2.0,1260.0,1260.0,,12.0,7.0,10.0,1.0,50.0,30.0,flat,semi-furnished,unknown,0,17.5203424,78.3970205
K70087882,unknown,unknown,45000000.0,4.0,3500.0,3500.0,,20.0,1.0,2.0,4.0,12.0,30.0,villa,semi-furnished,east,0,17.437953,78.283138
A70087772,unknown,unknown,58000000.0,4.0,4050.0,4050.0,,20.0,1.0,2.0,4.0,12.0,30.0,villa,semi-furnished,east,0,17.437953,78.283138
X70083618,unknown,unknown,48000000.0,4.0,3196.0,3196.0,,2.5,0.0,,4.0,16.0,30.0,villa,furnished,west,0,17.34944,78.38707
T70071222,unknown,unknown,6614000.0,2.0,1121.0,1121.0,,12.0,3.0,5.0,1.0,12.0,30.0,flat,semi-furnished,unknown,0,17.46,78.28
B70008126,unknown,unknown,7500000.0,3.0,1450.0,1450.0,,2.5,3.0,5.0,1.0,50.0,30.0,flat,furnished,unknown,0,17.47078,78.30668
V69979118,mokila,mokila,23600000.0,3.0,2780.0,2780.0,,20.0,1.0,2.0,1.0,8.0,30.0,villa,semi-furnished,east,0,17.428952,78.197469
X69976358,unknown,unknown,11500000.0,3.0,1575.0,1575.0,,20.0,3.0,5.0,1.0,12.0,30.0,flat,semi-furnished,north-east,0,17.516622,78.342547
I69962898,sri ramnagar colony kondapur,sri ramnagar colony kondapur,9900000.0,3.0,1600.0,1600.0,,20.0,1.0,5.0,1.0,0.0,30.0,flat,semi-furnished,west,0,,
V69961726,unknown,unknown,20000000.0,3.0,2384.0,2384.0,,12.0,1.0,2.0,3.0,8.0,30.0,villa,semi-furnished,east,0,17.428952,78.197469
I69928388,unknown,unknown,65000000.0,4.0,4223.0,4223.0,,20.0,3.0,3.0,4.0,15.0,60.0,flat,semi-furnished,west,0,17.465956,78.261911
N69914868,unknown,unknown,21000000.0,3.0,1798.0,1798.0,,20.0,13.0,15.0,1.0,15.0,60.0,flat,semi-furnished,east,0,17.474696,78.3472126
W69914828,unknown,unknown,20000000.0,3.0,1798.0,1798.0,,20.0,9.0,15.0,1.0,15.0,60.0,flat,semi-furnished,west,0,17.4753689,78.345016
T70964262,ida nacharam,ida nacharam,3933000.0,2.0,855.0,855.0,,20.0,3.0,5.0,1.0,50.0,3.0,flat,semi-furnished,east,0,17.440369,78.562932
O70963994,nacharam,nacharam,7783000.0,3.0,1557.0,1557.0,,20.0,3.0,5.0,1.0,50.0,3.0,flat,semi-furnished,east,0,17.435821,78.560357
Z70159832,unknown,unknown,10900000.0,3.0,1650.0,1650.0,,20.0,3.0,5.0,2.0,47.0,7.0,flat,semi-furnished,east,1,17.4989934,78.3172409
W70688122,unknown,unknown,12500000.0,3.0,1603.0,1603.0,,2.5,2.0,7.0,3.0,46.0,14.0,flat,furnished,west,1,17.4629358,78.3452147
B70157050,unknown,unknown,8909000.0,2.0,1350.0,1350.0,,20.0,3.0,5.0,2.0,47.0,30.0,flat,semi-furnished,east,0,17.4992,78.317629
U70156358,unknown,unknown,9598000.0,3.0,1600.0,1600.0,,20.0,3.0,5.0,2.0,47.0,30.0,flat,semi-furnished,east,0,17.4991411,78.317663
B70108922,unknown,unknown,21500000.0,4.0,3800.0,3800.0,,12.0,1.0,2.0,2.0,0.0,30.0,villa,semi-furnished,east,0,17.443354,78.182044
R70107810,unknown,unknown,19500000.0,4.0,3500.0,3500.0,,12.0,1.0,2.0,2.0,0.0,30.0,villa,semi-furnished,east,0,17.443354,78.182044
Z70086678,unknown,unknown,10100000.0,4.0,2100.0,2100.0,,12.0,1.0,2.0,2.0,7.0,30.0,villa,semi-furnished,east,0,17.543634,78.293712
I70084880,unknown,unknown,13400000.0,4.0,2800.0,2800.0,,12.0,1.0,2.0,2.0,7.0,30.0,villa,semi-furnished,east,0,17.543634,78.293712
I70056176,unknown,unknown,10100000.0,4.0,2100.0,2100.0,,12.0,1.0,2.0,2.0,48.0,30.0,villa,semi-furnished,east,0,17.5316,78.26729
W70055980,unknown,unknown,13400000.0,4.0,2800.0,2800.0,,12.0,1.0,2.0,2.0,48.0,30.0,villa,semi-furnished,east,0,17.5316,78.26729
X69377168,unknown,unknown,9858000.0,3.0,1700.0,1700.0,,12.0,3.0,14.0,1.0,11.0,30.0,flat,semi-furnished,unknown,0,17.51003,78.24035
H69145502,unknown,unknown,33300000.0,4.0,4275.0,4275.0,,12.0,1.0,2.0,3.0,0.0,30.0,villa,semi-furnished,east,0,17.443354,78.182044
H70254990,unknown,unknown,24700000.000000004,3.0,2055.0,2055.0,,20.0,20.0,30.0,1.0,8.0,30.0,flat,unfurnished,west,0,17.3923634,78.3621784
W57425688,unknown,unknown,12100000.0,3.0,1450.0,1450.0,,0.0,11.0,15.0,1.0,49.0,30.0,flat,unfurnished,east,1,17.501318,78.409228
N59642614,unknown,unknown,12500000.0,3.0,1600.0,1600.0,,0.0,14.0,15.0,1.0,49.0,30.0,flat,semi-furnished,east,1,17.501318,78.409228
I59642566,unknown,unknown,12500000.0,3.0,1600.0,1600.0,,0.0,14.0,15.0,1.0,49.0,30.0,flat,semi-furnished,east,1,17.501318,78.409228
W59643090,unknown,unknown,12000000.0,3.0,1450.0,1450.0,,0.0,14.0,15.0,1.0,49.0,30.0,flat,semi-furnished,east,1,17.501318,78.409228
