BEDROOM_NUM_CLEAN,TOTAL_FLOOR,FEATURE_COUNT,AMENITY_COUNT,LANDMARK_COUNT,FLOOR_RATIO,BALCONY_NUM,AREA_SQFT,LATITUDE,LONGITUDE,LISTING_AGE_DAYS,IS_READY_TO_MOVE,IS_UNDER_CONSTR,IS_RERA,IS_RESALE,IS_NEW_BOOKING,IS_VERIFIED,HAS_SOCIETY,IS_TOP_FLOOR,IS_GROUND_FLOOR,PROP_TYPE_CLEAN,FURNISH_LABEL,FACING_LABEL,AGE_LABEL,AREA_BUCKET,BALCONY_BUCKET,LOCALITY,TARGET_PRICE_SQFT,FLOOR_RATIO_WAS_MISSING,BALCONY_NUM_WAS_MISSING,BEDROOM_NUM_CLEAN_WAS_MISSING,TOTAL_FLOOR_WAS_MISSING
2.0,15.0,3,4,11.0,0.5333333333333333,1.0,1440.0,17.311940823733476,78.47302608769566,120.0,0,1,1,1,0,0,1,0,0,Apartment,Semi_Furnished,East,Resale_Old,Medium,1,Bandlaguda Jagir,6800.0,0,0,0,0
4.0,1.0,11,11,6.0,0.5384615384615384,3.0,4310.0,17.611834,78.465146,120.0,0,1,0,1,0,0,1,0,0,Villa,Unfurnished,East,Resale_Old,XL,3+,Gowdavalli,7656.0,1,0,0,0
3.0,4.0,1,0,50.0,0.5,2.0,1475.0,17.5139295,78.3850518,30.0,1,0,0,1,0,1,1,0,0,Apartment,Furnished,Unknown,5_10_yrs,Medium,2,: ,4745.0,0,0,0,0
2.0,5.0,18,20,8.0,0.6,2.0,1160.0,17.5468498,78.3650231,30.0,1,0,1,1,0,1,1,0,0,Apartment,Semi_Furnished,East,Resale_Very_Old,Small,2,: ,6034.0,0,0,0,0
3.0,2.0,2,3,50.0,0.5384615384615384,1.0,1611.0,17.4930942,78.5036065,5.0,1,0,0,1,0,0,0,0,0,Villa,Unfurnished,Unknown,5_10_yrs,Medium,1,: ,75418.0,1,0,0,0
3.0,13.0,7,7,50.0,0.3076923076923077,1.0,1039.0,17.517266,78.315699,7.0,0,1,0,1,0,0,1,0,0,Apartment,Unfurnished,East,Resale_Old,Small,1,Aminpur,6352.0,0,0,0,0
3.0,30.0,12,12,50.0,0.2333333333333333,1.0,1923.0,17.408229,78.374398,14.0,1,0,0,1,0,1,1,0,0,Apartment,Furnished,Unknown,5_10_yrs,Large,1,: ,9368.0,0,0,0,0
3.0,5.0,6,6,50.0,0.6,2.0,1645.0,17.456088,78.435077,5.0,1,0,0,1,0,0,1,0,0,Apartment,Furnished,NE,5_10_yrs,Medium,2,Sanath Nagar,9726.0,0,0,0,0
2.0,2.0,2,2,50.0,0.5384615384615384,1.0,1440.0,17.333085,78.59372,14.0,0,1,0,1,0,0,0,0,0,Villa,Semi_Furnished,Unknown,Resale_Old,Medium,1,Lecturers Colony,93750.0,1,0,0,0
3.0,5.0,4,5,8.0,0.2,2.0,1600.0,17.3697735,78.5618265,120.0,1,0,1,1,0,1,1,0,0,Apartment,Semi_Furnished,East,Resale_Very_Old,Medium,2,: ,7812.0,0,0,0,0
3.0,3.0,5,7,1.0,0.5384615384615384,1.0,2700.0,17.41821,78.29459,180.0,0,1,0,1,0,0,0,0,0,Villa,Semi_Furnished,East,Resale_Old,XL,1,: ,6481.0,1,0,0,0
4.0,2.0,4,5,6.0,0.5384615384615384,1.0,1350.0,17.529701,78.333031,60.0,0,1,0,1,0,0,1,0,0,Villa,Semi_Furnished,East,Resale_Old,Medium,1,: ,7045.0,1,0,0,0
3.0,35.0,23,25,10.0,0.2571428571428571,1.0,1993.0,17.41341,78.339447,90.0,1,0,1,1,0,0,1,0,0,Apartment,Furnished,East,Under_Construction,Large,1,: ,10536.0,0,0,0,0
4.0,2.0,12,13,0.0,0.5384615384615384,2.0,9360.0,17.3423568,78.3011735,60.0,1,0,0,1,0,0,0,0,0,Farmhouse,Semi_Furnished,East,Under_Construction,XXL,2,: ,3739.0,1,0,0,0
2.0,1.0,0,0,49.0,0.5384615384615384,2.0,1125.0,17.49565,78.466262,90.0,1,0,0,1,0,1,0,0,0,Villa,Semi_Furnished,East,5_10_yrs,Small,2,: ,120000.0,1,0,0,0
3.0,4.0,6,6,50.0,1.0,2.0,1248.0,17.3964311,78.4815879,60.0,1,0,0,1,0,1,1,1,0,Apartment,Semi_Furnished,East,5_10_yrs,Medium,2,: ,7692.0,0,0,0,0
4.0,3.0,15,15,11.0,0.5384615384615384,3.0,2871.0,17.453581,78.291189,60.0,1,0,0,1,0,0,1,0,0,Villa,Semi_Furnished,West,Under_Construction,XL,3+,: ,26123.0,1,0,0,0
2.0,2.0,0,1,50.0,0.5384615384615384,2.0,3114.0,17.4106,78.46241,30.0,1,0,0,1,0,1,0,0,0,Villa,Semi_Furnished,Unknown,5_10_yrs,XL,2,: ,202312.0,1,0,0,0
3.0,1.0,10,10,47.0,0.5384615384615384,4.0,11205.0,17.4891865,78.5420732,30.0,1,0,0,1,0,1,0,0,0,Villa,Semi_Furnished,NE,5_10_yrs,XXL,3+,Sainikpuri,117269.0,1,0,0,0
3.0,5.0,23,24,33.0,0.4,2.0,1525.0,17.406421,78.616398,21.0,1,0,1,1,0,1,1,0,0,Apartment,Furnished,West,Resale_Very_Old,Medium,2,: ,8196.0,0,0,0,0
3.0,11.0,10,11,15.0,0.8181818181818182,2.0,2249.0,17.43271,78.444297,90.0,1,0,1,1,0,0,1,0,0,Apartment,Semi_Furnished,West,Resale_Very_Old,Large,2,Ameerpet,10500.0,0,0,0,0
4.0,3.0,19,19,0.0,0.5384615384615384,3.0,4255.0,17.448266,78.249577,30.0,0,1,0,1,0,0,1,0,0,Villa,Semi_Furnished,West,Resale_Old,XL,3+,Kollur,13513.0,1,0,0,0
3.0,5.0,10,11,20.0,0.5384615384615384,3.0,1526.0,17.526992,78.344595,30.0,1,0,0,1,0,1,1,0,0,Apartment,Unfurnished,West,5_10_yrs,Medium,3+,Miyapur,5504.0,1,0,0,0
3.0,2.0,0,0,49.0,0.5384615384615384,1.0,3150.0,17.497983,78.459688,7.0,1,0,0,1,0,1,1,0,0,Villa,Semi_Furnished,Unknown,0_5_yrs,XL,1,: ,4126.0,1,0,0,0
4.0,2.0,25,27,49.0,0.5,3.0,2564.0,17.505486,78.540761,90.0,1,0,0,1,0,0,1,0,0,Apartment,Furnished,Unknown,0_5_yrs,XL,3+,: ,7500.0,0,0,0,0
4.0,2.0,13,14,50.0,0.5384615384615384,1.0,1620.0,17.536121,78.289779,90.0,1,0,0,1,0,1,1,0,0,Villa,Semi_Furnished,East,Under_Construction,Medium,1,: ,9130.0,1,0,0,0
3.0,5.0,11,11,46.0,0.6,2.0,1530.0,17.483151,78.567007,90.0,0,1,0,1,0,0,1,0,0,Apartment,Semi_Furnished,East,Resale_Old,Medium,2,: ,5882.0,0,0,0,0
3.0,5.0,11,12,49.0,0.6,2.0,1945.0,17.465743,78.345041,7.0,1,0,0,1,0,1,1,0,0,Apartment,Semi_Furnished,East,Under_Construction,Large,2,: ,7712.0,0,0,0,0
3.0,5.0,1,1,50.0,0.6,2.0,1550.0,17.510933,78.533058,30.0,1,0,0,1,0,0,1,0,0,Apartment,Furnished,Unknown,5_10_yrs,Medium,2,: ,4193.0,0,0,0,0
3.0,18.0,16,17,47.0,0.7222222222222222,1.0,2705.0,17.463222,78.373772,60.0,1,0,0,1,0,1,1,0,0,Apartment,Furnished,West,0_5_yrs,XL,1,Shilpa Hills,11500.0,0,0,0,0
4.0,2.0,7,7,37.0,0.5384615384615384,2.0,3000.0,17.5386495,78.4803923,28.0,1,0,0,1,0,1,0,0,0,Villa,Furnished,Unknown,0_5_yrs,XL,2,Kompally,6000.0,1,0,0,0
3.0,2.0,12,13,0.0,0.5384615384615384,3.0,2700.0,17.443354,78.182044,4.0,1,0,0,1,0,0,0,0,0,Villa,Semi_Furnished,West,Resale_Very_Old,XL,3+,: ,126666.0,1,0,0,0
3.0,6.0,12,13,43.0,0.8333333333333334,2.0,1520.0,17.519291,78.306542,30.0,1,0,0,1,0,0,1,0,0,Apartment,Unfurnished,West,Resale_Very_Old,Medium,2,: ,6348.0,0,0,0,0
3.0,9.0,18,20,10.0,0.3333333333333333,1.0,1820.0,17.538237,78.480804,90.0,1,0,1,1,0,0,1,0,0,Apartment,Semi_Furnished,East,Resale_Very_Old,Large,1,Kompally,8186.0,0,0,0,0
2.0,5.0,13,13,33.0,0.2,1.0,1040.0,17.509831,78.542499,120.0,1,0,0,1,0,0,1,0,0,Apartment,Furnished,East,0_5_yrs,Small,1,Pedso 2,5288.0,0,0,0,0
3.0,14.0,2,2,48.0,0.8571428571428571,2.0,1920.0,17.42278,78.34724,30.0,1,0,0,1,0,1,1,0,0,Apartment,Furnished,West,0_5_yrs,Large,2,: ,9000.0,0,0,0,0
5.0,2.0,1,1,33.0,0.5384615384615384,2.0,1506.0,17.406421,78.616398,90.0,1,0,0,1,0,1,0,0,0,Villa,Semi_Furnished,NE,5_10_yrs,Medium,2,Peerzadiguda,8632.0,1,0,0,0
3.0,12.0,24,26,0.0,0.5384615384615384,1.0,1725.0,16.5609,77.85031,60.0,1,0,0,1,0,0,1,0,0,Apartment,Semi_Furnished,West,Under_Construction,Medium,1,: ,10202.0,1,0,0,0
3.0,4.0,1,1,49.0,0.5384615384615384,1.0,1500.0,17.3996648,78.4496168,60.0,1,0,0,1,0,1,1,0,0,Apartment,Semi_Furnished,Unknown,5_10_yrs,Medium,1,Masab Tank,11363.0,1,0,0,0
3.0,3.0,0,0,47.0,0.3333333333333333,0.0,200.0,17.4948,78.3996,7.0,1,0,0,1,0,0,1,0,0,Builder_Floor,Semi_Furnished,Unknown,Under_Construction,Micro,Unknown,Kukatpally,37500.0,0,0,0,0
2.0,5.0,8,8,47.0,0.8,2.0,1230.0,17.49479,78.39964,21.0,1,0,0,1,0,1,1,0,0,Apartment,Furnished,East,0_5_yrs,Medium,2,: ,6016.0,0,0,0,0
2.0,2.0,3,3,7.0,0.5384615384615384,2.0,1251.0,17.4208136218379,78.6406221360118,90.0,1,0,0,1,0,1,0,0,0,Villa,Furnished,South,5_10_yrs,Medium,2,Vijayapuri Colony,100719.0,1,0,0,0
2.0,5.0,8,8,9.0,0.6,2.0,1145.0,17.5468498,78.3650231,60.0,0,1,1,1,0,0,1,0,0,Apartment,Semi_Furnished,East,Resale_Old,Small,2,: ,6200.0,0,0,0,0
2.0,3.0,1,2,50.0,0.3333333333333333,1.0,850.0,17.377228,78.534817,14.0,1,0,0,1,0,0,1,0,0,Apartment,Semi_Furnished,North,5_10_yrs,Small,1,New Maruthi Nagar,5647.0,0,0,0,0
10.0,3.0,6,6,39.0,0.5384615384615384,3.0,2000.0,17.357233,78.404825,30.0,1,0,0,1,0,0,0,0,0,Villa,Semi_Furnished,South,0_5_yrs,Large,3+,P&T Colony,25000.0,1,0,0,0
2.0,8.0,19,20,8.0,0.5,1.0,1185.0,17.549696,78.478157,2.0,1,0,1,1,0,0,1,0,0,Apartment,Furnished,East,Resale_Very_Old,Small,1,: ,7172.0,0,0,0,0
2.0,4.0,4,6,50.0,0.5,2.0,750.0,17.3915153,78.4972145,4.0,1,0,0,1,0,0,1,0,0,Apartment,Furnished,NE,5_10_yrs,Micro,2,barkatpura,12666.0,0,0,0,0
4.0,1.0,0,0,0.0,0.5384615384615384,0.0,3000.0,20.5937,78.9629,21.0,1,0,0,1,0,0,0,0,0,Villa,Furnished,Unknown,Resale_Very_Old,XL,Unknown,Manikonda,26666.0,1,0,0,0
2.0,4.0,5,5,50.0,0.75,3.0,1420.0,17.448505,78.514838,60.0,1,0,0,1,0,1,1,0,0,Apartment,Semi_Furnished,East,5_10_yrs,Medium,3+,: ,4225.0,0,0,0,0
3.0,15.0,17,20,47.0,0.2,2.0,1800.0,17.49479,78.39964,14.0,1,0,0,1,0,1,1,0,0,Apartment,Furnished,East,0_5_yrs,Medium,2,Kukatpally,8403.0,0,0,0,0
3.0,5.0,7,7,49.0,0.6,2.0,1815.0,17.349881,78.555418,30.0,0,1,0,1,0,0,1,0,0,Apartment,Unfurnished,East,Resale_Old,Large,2,: ,6500.0,0,0,0,0
3.0,1.0,0,3,50.0,0.5384615384615384,0.0,375.0,17.412143,78.571477,30.0,1,0,0,1,0,1,0,0,0,Villa,Semi_Furnished,SE,5_10_yrs,Micro,Unknown,Srinivasa Colony,80000.0,1,0,0,0
2.0,4.0,5,5,47.0,0.5,2.0,1000.0,17.367175,78.52609,30.0,1,0,0,1,0,1,1,0,0,Apartment,Semi_Furnished,East,5_10_yrs,Small,2,: ,4900.0,0,0,0,0
2.0,5.0,14,15,50.0,0.2,2.0,1020.0,17.36928,78.55331,30.0,1,0,0,1,0,1,1,0,0,Apartment,Furnished,SW,0_5_yrs,Small,2,: ,6372.0,0,0,0,0
6.0,3.0,2,2,50.0,0.5384615384615384,2.0,4200.0,17.414894,78.55985,90.0,1,0,0,1,0,0,0,0,0,Villa,Furnished,East,0_5_yrs,XL,2,: ,5476.0,1,0,0,0
1.0,1.0,0,1,50.0,0.5384615384615384,1.0,540.0,17.3697735,78.5618265,30.0,1,0,0,1,0,1,0,0,0,Villa,Unfurnished,Unknown,0_5_yrs,Micro,1,Nagole,75000.0,1,0,0,0
